#log[T] redshift massfrac  log[nh] ne/nh     mu    tcool     Lambdanet   ionf[ 1]   ionf[ 2]   ionf[ 3]   ionf[ 4]   ionf[ 5]   ionf[ 6]   ionf[ 7]   ionf[ 8]   ionf[ 9]   ionf[10]   ionf[11]   ionf[12]   ionf[13]   ionf[14]   ionf[15]   
 6.83   0.00     6.826e-04 -4.000  1.209e+00 0.618 3.425e+10 -2.969e-23  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.452e-09  1.911e-07  1.424e-05  8.440e-04  2.736e-02  8.863e-01  8.269e-02  2.794e-03 
 6.82   0.00     6.826e-04 -4.000  1.209e+00 0.618 3.363e+10 -2.955e-23  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.789e-09  2.254e-07  1.604e-05  9.069e-04  2.818e-02  8.949e-01  7.382e-02  2.164e-03 
 6.81   0.00     6.826e-04 -4.000  1.209e+00 0.618 3.302e+10 -2.941e-23  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  2.209e-09  2.663e-07  1.809e-05  9.746e-04  2.901e-02  9.026e-01  6.580e-02  1.673e-03 
 6.80   0.00     6.826e-04 -4.000  1.209e+00 0.618 3.240e+10 -2.930e-23  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  2.738e-09  3.153e-07  2.043e-05  1.047e-03  2.982e-02  9.083e-01  5.946e-02  1.334e-03 
 6.79   0.00     6.826e-04 -4.000  1.209e+00 0.618 3.178e+10 -2.919e-23  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  3.393e-09  3.734e-07  2.308e-05  1.125e-03  3.065e-02  9.141e-01  5.306e-02  1.037e-03 
 6.78   0.00     6.826e-04 -4.000  1.209e+00 0.618 3.115e+10 -2.910e-23  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  4.202e-09  4.423e-07  2.610e-05  1.211e-03  3.154e-02  9.198e-01  4.666e-02  7.816e-04 
 6.77   0.00     6.826e-04 -4.000  1.209e+00 0.618 3.051e+10 -2.903e-23  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  5.220e-09  5.250e-07  2.955e-05  1.304e-03  3.245e-02  9.246e-01  4.104e-02  5.897e-04 
 6.76   0.00     6.826e-04 -4.000  1.209e+00 0.618 2.988e+10 -2.896e-23  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  6.510e-09  6.251e-07  3.351e-05  1.404e-03  3.335e-02  9.281e-01  3.664e-02  4.607e-04 
 6.75   0.00     6.826e-04 -4.000  1.209e+00 0.618 2.924e+10 -2.892e-23  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  8.121e-09  7.445e-07  3.804e-05  1.513e-03  3.430e-02  9.315e-01  3.227e-02  3.497e-04 
 6.74   0.00     6.826e-04 -4.000  1.209e+00 0.618 2.860e+10 -2.890e-23  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.013e-08  8.875e-07  4.322e-05  1.633e-03  3.530e-02  9.348e-01  2.793e-02  2.558e-04 
