#log[T] redshift massfrac  log[nh] ne/nh     mu    tcool     Lambdanet   ionf[ 1]   ionf[ 2]   ionf[ 3]   ionf[ 4]   ionf[ 5]   ionf[ 6]   ionf[ 7]   ionf[ 8]   ionf[ 9]   
 6.76   0.00     5.493e-03 -4.000  1.209e+00 0.618 2.988e+10 -2.896e-23  0.000e+00  0.000e+00  0.000e+00  0.000e+00  2.240e-09  5.048e-06  3.494e-03  5.924e-02  9.372e-01 
 6.75   0.00     5.493e-03 -4.000  1.209e+00 0.618 2.924e+10 -2.892e-23  0.000e+00  0.000e+00  0.000e+00  0.000e+00  2.628e-09  5.756e-06  3.924e-03  6.307e-02  9.330e-01 
 6.74   0.00     5.493e-03 -4.000  1.209e+00 0.618 2.860e+10 -2.890e-23  0.000e+00  0.000e+00  0.000e+00  0.000e+00  3.093e-09  6.586e-06  4.424e-03  6.724e-02  9.283e-01 
 6.73   0.00     5.493e-03 -4.000  1.209e+00 0.618 2.795e+10 -2.890e-23  0.000e+00  0.000e+00  0.000e+00  0.000e+00  3.638e-09  7.528e-06  4.984e-03  7.170e-02  9.233e-01 
 6.72   0.00     5.493e-03 -4.000  1.209e+00 0.618 2.731e+10 -2.890e-23  0.000e+00  0.000e+00  0.000e+00  0.000e+00  4.269e-09  8.577e-06  5.599e-03  7.638e-02  9.180e-01 
 6.71   0.00     5.493e-03 -4.000  1.209e+00 0.618 2.666e+10 -2.894e-23  0.000e+00  0.000e+00  0.000e+00  0.000e+00  5.025e-09  9.807e-06  6.313e-03  8.149e-02  9.122e-01 
 6.70   0.00     5.493e-03 -4.000  1.209e+00 0.618 2.599e+10 -2.900e-23  0.000e+00  0.000e+00  0.000e+00  0.000e+00  5.938e-09  1.126e-05  7.148e-03  8.709e-02  9.057e-01 
 6.69   0.00     5.493e-03 -4.000  1.209e+00 0.618 2.534e+10 -2.907e-23  0.000e+00  0.000e+00  0.000e+00  0.000e+00  7.007e-09  1.290e-05  8.084e-03  9.305e-02  8.989e-01 
 6.68   0.00     5.493e-03 -4.000  1.209e+00 0.618 2.468e+10 -2.916e-23  0.000e+00  0.000e+00  0.000e+00  0.000e+00  8.243e-09  1.473e-05  9.108e-03  9.926e-02  8.916e-01 
 6.67   0.00     5.493e-03 -4.000  1.209e+00 0.618 2.403e+10 -2.928e-23  0.000e+00  0.000e+00  0.000e+00  0.000e+00  9.733e-09  1.689e-05  1.031e-02  1.061e-01  8.836e-01 
 6.66   0.00     5.493e-03 -4.000  1.208e+00 0.618 2.335e+10 -2.944e-23  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.154e-08  1.945e-05  1.172e-02  1.136e-01  8.747e-01 
