#log[T] redshift massfrac  log[nh] ne/nh     mu    tcool     Lambdanet   ionf[ 1]   ionf[ 2]   ionf[ 3]   ionf[ 4]   ionf[ 5]   ionf[ 6]   ionf[ 7]   
 6.73   0.00     2.067e-03 -4.000  1.209e+00 0.618 2.795e+10 -2.890e-23  0.000e+00  0.000e+00  0.000e+00  1.691e-08  4.771e-05  5.573e-03  9.944e-01 
 6.72   0.00     2.067e-03 -4.000  1.209e+00 0.618 2.731e+10 -2.890e-23  0.000e+00  0.000e+00  0.000e+00  1.902e-08  5.241e-05  5.860e-03  9.940e-01 
 6.71   0.00     2.067e-03 -4.000  1.209e+00 0.618 2.666e+10 -2.894e-23  0.000e+00  0.000e+00  0.000e+00  2.140e-08  5.763e-05  6.165e-03  9.937e-01 
 6.70   0.00     2.067e-03 -4.000  1.209e+00 0.618 2.599e+10 -2.900e-23  0.000e+00  0.000e+00  0.000e+00  2.409e-08  6.344e-05  6.489e-03  9.935e-01 
 6.69   0.00     2.067e-03 -4.000  1.209e+00 0.618 2.534e+10 -2.907e-23  0.000e+00  0.000e+00  0.000e+00  2.713e-08  6.987e-05  6.835e-03  9.931e-01 
 6.68   0.00     2.067e-03 -4.000  1.209e+00 0.618 2.468e+10 -2.916e-23  0.000e+00  0.000e+00  0.000e+00  3.058e-08  7.698e-05  7.204e-03  9.927e-01 
 6.67   0.00     2.067e-03 -4.000  1.209e+00 0.618 2.403e+10 -2.928e-23  0.000e+00  0.000e+00  0.000e+00  3.449e-08  8.493e-05  7.597e-03  9.923e-01 
 6.66   0.00     2.067e-03 -4.000  1.208e+00 0.618 2.335e+10 -2.944e-23  0.000e+00  0.000e+00  0.000e+00  3.894e-08  9.382e-05  8.018e-03  9.919e-01 
 6.65   0.00     2.067e-03 -4.000  1.208e+00 0.618 2.268e+10 -2.962e-23  0.000e+00  0.000e+00  0.000e+00  4.399e-08  1.037e-04  8.468e-03  9.914e-01 
 6.64   0.00     2.067e-03 -4.000  1.208e+00 0.618 2.201e+10 -2.983e-23  0.000e+00  0.000e+00  0.000e+00  4.968e-08  1.146e-04  8.946e-03  9.909e-01 
 6.63   0.00     2.067e-03 -4.000  1.208e+00 0.618 2.132e+10 -3.009e-23  0.000e+00  0.000e+00  0.000e+00  5.619e-08  1.268e-04  9.461e-03  9.904e-01 
 6.62   0.00     2.067e-03 -4.000  1.208e+00 0.618 2.062e+10 -3.041e-23  0.000e+00  0.000e+00  0.000e+00  6.364e-08  1.407e-04  1.001e-02  9.898e-01 
 6.61   0.00     2.067e-03 -4.000  1.208e+00 0.618 1.992e+10 -3.076e-23  0.000e+00  0.000e+00  0.000e+00  7.209e-08  1.561e-04  1.061e-02  9.893e-01 
 6.60   0.00     2.067e-03 -4.000  1.208e+00 0.618 1.922e+10 -3.115e-23  0.000e+00  0.000e+00  0.000e+00  8.161e-08  1.730e-04  1.124e-02  9.886e-01 
 6.59   0.00     2.067e-03 -4.000  1.208e+00 0.618 1.851e+10 -3.161e-23  0.000e+00  0.000e+00  0.000e+00  9.257e-08  1.923e-04  1.192e-02  9.879e-01 
 6.58   0.00     2.067e-03 -4.000  1.208e+00 0.618 1.779e+10 -3.216e-23  0.000e+00  0.000e+00  0.000e+00  1.052e-07  2.142e-04  1.265e-02  9.871e-01 
 6.57   0.00     2.067e-03 -4.000  1.208e+00 0.618 1.706e+10 -3.275e-23  0.000e+00  0.000e+00  0.000e+00  1.195e-07  2.385e-04  1.344e-02  9.863e-01 
 6.56   0.00     2.067e-03 -4.000  1.208e+00 0.618 1.635e+10 -3.340e-23  0.000e+00  0.000e+00  0.000e+00  1.357e-07  2.655e-04  1.427e-02  9.854e-01 
 6.55   0.00     2.067e-03 -4.000  1.208e+00 0.618 1.563e+10 -3.415e-23  0.000e+00  0.000e+00  0.000e+00  1.543e-07  2.961e-04  1.518e-02  9.845e-01 
 6.54   0.00     2.067e-03 -4.000  1.208e+00 0.618 1.489e+10 -3.500e-23  0.000e+00  0.000e+00  0.000e+00  1.760e-07  3.313e-04  1.617e-02  9.835e-01 
 6.53   0.00     2.067e-03 -4.000  1.208e+00 0.618 1.419e+10 -3.592e-23  0.000e+00  0.000e+00  0.000e+00  2.005e-07  3.703e-04  1.723e-02  9.824e-01 
 6.52   0.00     2.067e-03 -4.000  1.208e+00 0.618 1.350e+10 -3.689e-23  0.000e+00  0.000e+00  0.000e+00  2.281e-07  4.138e-04  1.836e-02  9.812e-01 
 6.51   0.00     2.067e-03 -4.000  1.208e+00 0.618 1.282e+10 -3.798e-23  0.000e+00  0.000e+00  0.000e+00  2.604e-07  4.637e-04  1.960e-02  9.800e-01 
 6.50   0.00     2.067e-03 -4.000  1.208e+00 0.618 1.214e+10 -3.919e-23  0.000e+00  0.000e+00  0.000e+00  2.982e-07  5.214e-04  2.095e-02  9.785e-01 
 6.49   0.00     2.067e-03 -4.000  1.208e+00 0.618 1.149e+10 -4.045e-23  0.000e+00  0.000e+00  0.000e+00  3.407e-07  5.853e-04  2.239e-02  9.770e-01 
 6.48   0.00     2.067e-03 -4.000  1.208e+00 0.618 1.088e+10 -4.173e-23  0.000e+00  0.000e+00  0.000e+00  3.888e-07  6.564e-04  2.393e-02  9.754e-01 
 6.47   0.00     2.067e-03 -4.000  1.208e+00 0.618 1.029e+10 -4.315e-23  0.000e+00  0.000e+00  0.000e+00  4.453e-07  7.390e-04  2.563e-02  9.736e-01 
 6.46   0.00     2.067e-03 -4.000  1.208e+00 0.618 9.707e+09 -4.467e-23  0.000e+00  0.000e+00  0.000e+00  5.122e-07  8.355e-04  2.750e-02  9.717e-01 
 6.45   0.00     2.067e-03 -4.000  1.208e+00 0.618 9.167e+09 -4.623e-23  0.000e+00  0.000e+00  0.000e+00  5.870e-07  9.420e-04  2.950e-02  9.695e-01 
