#log[T] redshift massfrac  log[nh] ne/nh     mu    tcool     Lambdanet   ionf[ 1]   ionf[ 2]   ionf[ 3]   
 6.61   0.00     2.806e-01 -4.000  1.208e+00 0.618 1.992e+10 -3.076e-23  0.000e+00  3.896e-06  1.000e+00 
 6.60   0.00     2.806e-01 -4.000  1.208e+00 0.618 1.922e+10 -3.115e-23  0.000e+00  4.013e-06  1.000e+00 
 6.59   0.00     2.806e-01 -4.000  1.208e+00 0.618 1.851e+10 -3.161e-23  0.000e+00  4.129e-06  1.000e+00 
 6.58   0.00     2.806e-01 -4.000  1.208e+00 0.618 1.779e+10 -3.216e-23  0.000e+00  4.247e-06  1.000e+00 
 6.57   0.00     2.806e-01 -4.000  1.208e+00 0.618 1.706e+10 -3.275e-23  0.000e+00  4.371e-06  1.000e+00 
 6.56   0.00     2.806e-01 -4.000  1.208e+00 0.618 1.635e+10 -3.340e-23  0.000e+00  4.503e-06  1.000e+00 
 6.55   0.00     2.806e-01 -4.000  1.208e+00 0.618 1.563e+10 -3.415e-23  0.000e+00  4.637e-06  1.000e+00 
 6.54   0.00     2.806e-01 -4.000  1.208e+00 0.618 1.489e+10 -3.500e-23  0.000e+00  4.771e-06  1.000e+00 
 6.53   0.00     2.806e-01 -4.000  1.208e+00 0.618 1.419e+10 -3.592e-23  0.000e+00  4.913e-06  1.000e+00 
 6.52   0.00     2.806e-01 -4.000  1.208e+00 0.618 1.350e+10 -3.689e-23  0.000e+00  5.065e-06  1.000e+00 
 6.51   0.00     2.806e-01 -4.000  1.208e+00 0.618 1.282e+10 -3.798e-23  0.000e+00  5.217e-06  1.000e+00 
 6.50   0.00     2.806e-01 -4.000  1.208e+00 0.618 1.214e+10 -3.919e-23  0.000e+00  5.372e-06  1.000e+00 
 6.49   0.00     2.806e-01 -4.000  1.208e+00 0.618 1.149e+10 -4.045e-23  0.000e+00  5.536e-06  1.000e+00 
 6.48   0.00     2.806e-01 -4.000  1.208e+00 0.618 1.088e+10 -4.173e-23  0.000e+00  5.710e-06  1.000e+00 
 6.47   0.00     2.806e-01 -4.000  1.208e+00 0.618 1.029e+10 -4.315e-23  0.000e+00  5.886e-06  1.000e+00 
 6.46   0.00     2.806e-01 -4.000  1.208e+00 0.618 9.707e+09 -4.467e-23  0.000e+00  6.063e-06  1.000e+00 
 6.45   0.00     2.806e-01 -4.000  1.208e+00 0.618 9.167e+09 -4.623e-23  0.000e+00  6.253e-06  1.000e+00 
 6.44   0.00     2.806e-01 -4.000  1.208e+00 0.618 8.659e+09 -4.783e-23  0.000e+00  6.453e-06  1.000e+00 
 6.43   0.00     2.806e-01 -4.000  1.208e+00 0.618 8.167e+09 -4.955e-23  0.000e+00  6.655e-06  1.000e+00 
 6.42   0.00     2.806e-01 -4.000  1.208e+00 0.618 7.690e+09 -5.144e-23  0.000e+00  6.860e-06  1.000e+00 
 6.41   0.00     2.806e-01 -4.000  1.208e+00 0.618 7.251e+09 -5.330e-23  0.000e+00  7.081e-06  1.000e+00 
 6.40   0.00     2.806e-01 -4.000  1.208e+00 0.618 6.841e+09 -5.520e-23  0.000e+00  7.312e-06  1.000e+00 
 6.39   0.00     2.806e-01 -4.000  1.208e+00 0.618 6.444e+09 -5.728e-23  0.000e+00  7.546e-06  1.000e+00 
 6.38   0.00     2.806e-01 -4.000  1.208e+00 0.618 6.057e+09 -5.955e-23  0.000e+00  7.784e-06  1.000e+00 
 6.37   0.00     2.806e-01 -4.000  1.208e+00 0.618 5.693e+09 -6.191e-23  0.000e+00  8.040e-06  1.000e+00 
 6.36   0.00     2.806e-01 -4.000  1.208e+00 0.618 5.347e+09 -6.442e-23  0.000e+00  8.309e-06  1.000e+00 
 6.35   0.00     2.806e-01 -4.000  1.208e+00 0.618 5.011e+09 -6.717e-23  0.000e+00  8.582e-06  1.000e+00 
 6.34   0.00     2.806e-01 -4.000  1.208e+00 0.618 4.686e+09 -7.019e-23  0.000e+00  8.859e-06  1.000e+00 
 6.33   0.00     2.806e-01 -4.000  1.208e+00 0.618 4.389e+09 -7.323e-23  0.000e+00  9.157e-06  1.000e+00 
