#log[T] redshift massfrac  log[nh] ne/nh     mu    tcool     Lambdanet   ionf[ 1]   ionf[ 2]   
 6.56   0.00     7.065e-01 -4.000  1.208e+00 0.618 1.635e+10 -3.340e-23  5.402e-08  1.000e+00 
 6.55   0.00     7.065e-01 -4.000  1.208e+00 0.618 1.563e+10 -3.415e-23  5.533e-08  1.000e+00 
 6.54   0.00     7.065e-01 -4.000  1.208e+00 0.618 1.489e+10 -3.500e-23  5.664e-08  1.000e+00 
 6.53   0.00     7.065e-01 -4.000  1.208e+00 0.618 1.419e+10 -3.592e-23  5.803e-08  1.000e+00 
 6.52   0.00     7.065e-01 -4.000  1.208e+00 0.618 1.350e+10 -3.689e-23  5.950e-08  1.000e+00 
 6.51   0.00     7.065e-01 -4.000  1.208e+00 0.618 1.282e+10 -3.798e-23  6.096e-08  1.000e+00 
 6.50   0.00     7.065e-01 -4.000  1.208e+00 0.618 1.214e+10 -3.919e-23  6.240e-08  1.000e+00 
 6.49   0.00     7.065e-01 -4.000  1.208e+00 0.618 1.149e+10 -4.045e-23  6.396e-08  1.000e+00 
 6.48   0.00     7.065e-01 -4.000  1.208e+00 0.618 1.088e+10 -4.173e-23  6.558e-08  1.000e+00 
 6.47   0.00     7.065e-01 -4.000  1.208e+00 0.618 1.029e+10 -4.315e-23  6.721e-08  1.000e+00 
 6.46   0.00     7.065e-01 -4.000  1.208e+00 0.618 9.707e+09 -4.467e-23  6.881e-08  1.000e+00 
 6.45   0.00     7.065e-01 -4.000  1.208e+00 0.618 9.167e+09 -4.623e-23  7.054e-08  1.000e+00 
 6.44   0.00     7.065e-01 -4.000  1.208e+00 0.618 8.659e+09 -4.783e-23  7.235e-08  1.000e+00 
 6.43   0.00     7.065e-01 -4.000  1.208e+00 0.618 8.167e+09 -4.955e-23  7.416e-08  1.000e+00 
 6.42   0.00     7.065e-01 -4.000  1.208e+00 0.618 7.690e+09 -5.144e-23  7.595e-08  1.000e+00 
 6.41   0.00     7.065e-01 -4.000  1.208e+00 0.618 7.251e+09 -5.330e-23  7.789e-08  1.000e+00 
 6.40   0.00     7.065e-01 -4.000  1.208e+00 0.618 6.841e+09 -5.520e-23  7.991e-08  1.000e+00 
 6.39   0.00     7.065e-01 -4.000  1.208e+00 0.618 6.444e+09 -5.728e-23  8.193e-08  1.000e+00 
 6.38   0.00     7.065e-01 -4.000  1.208e+00 0.618 6.057e+09 -5.955e-23  8.393e-08  1.000e+00 
 6.37   0.00     7.065e-01 -4.000  1.208e+00 0.618 5.693e+09 -6.191e-23  8.609e-08  1.000e+00 
 6.36   0.00     7.065e-01 -4.000  1.208e+00 0.618 5.347e+09 -6.442e-23  8.835e-08  1.000e+00 
 6.35   0.00     7.065e-01 -4.000  1.208e+00 0.618 5.011e+09 -6.717e-23  9.061e-08  1.000e+00 
